question_id,option,right
1, this is an options 1,0
1, this is an options 1,1
1, this is an options 1,0
1, this is an options 1,1
1, this is an options 1,0

2, this is an options 2,0
2, this is an options 2,0
2, this is an options 2,0
2, this is an options 2,1
2, this is an options 2,0

3, this is an options 3,1
3, this is an options 3,1
3, this is an options 3,0
3, this is an options 3,1
3, this is an options 3,0

4, this is an options 4,0
4, this is an options 4,0
4, this is an options 4,0
4, this is an options 4,1
4, this is an options 4,0
